participant_pair_ID,gender_D,gender_P,age_D,age_P,block,trial_number,condition_ID,location_ID,zebra,TTA,ped_crossed_first
1,F,M,42,22,1,1,9,L1,1,5,1
1,F,M,42,22,1,2,5,L1,1,4,1
1,F,M,42,22,1,3,17,L1,1,7,1
1,F,M,42,22,1,4,18,L3,1,7,1
1,F,M,42,22,1,5,10,L3,1,5,1
1,F,M,42,22,1,6,16,L4,0,6,0
1,F,M,42,22,1,7,3,L2,0,3,0
1,F,M,42,22,1,8,12,L4,0,5,1
1,F,M,42,22,1,9,11,L2,0,5,1
1,F,M,42,22,1,10,8,L4,0,4,0
1,F,M,42,22,1,11,14,L3,1,6,1
1,F,M,42,22,1,12,4,L4,0,3,0
1,F,M,42,22,1,13,7,L2,0,4,0
1,F,M,42,22,1,14,6,L3,1,4,1
1,F,M,42,22,1,15,20,L4,0,7,1
1,F,M,42,22,1,16,19,L2,0,7,1
1,F,M,42,22,1,17,13,L1,1,6,1
1,F,M,42,22,1,18,1,L1,1,3,0
1,F,M,42,22,1,19,15,L2,0,6,1
1,F,M,42,22,1,20,2,L3,1,3,0
1,F,M,42,22,2,1,1,L1,1,3,0
1,F,M,42,22,2,2,2,L3,1,3,0
1,F,M,42,22,2,3,17,L1,1,7,1
1,F,M,42,22,2,4,10,L3,1,5,1
1,F,M,42,22,2,5,3,L2,0,3,0
1,F,M,42,22,2,6,15,L2,0,6,1
1,F,M,42,22,2,7,18,L3,1,7,1
1,F,M,42,22,2,8,14,L3,1,6,1
1,F,M,42,22,2,9,19,L2,0,7,1
1,F,M,42,22,2,10,4,L4,0,3,0
1,F,M,42,22,2,11,12,L4,0,5,1
1,F,M,42,22,2,12,13,L1,1,6,1
1,F,M,42,22,2,13,11,L2,0,5,1
1,F,M,42,22,2,14,6,L3,1,4,1
1,F,M,42,22,2,15,7,L2,0,4,0
1,F,M,42,22,2,16,9,L1,1,5,1
1,F,M,42,22,2,17,8,L4,0,4,0
1,F,M,42,22,2,18,5,L1,1,4,1
1,F,M,42,22,2,19,20,L4,0,7,1
1,F,M,42,22,2,20,16,L4,0,6,1
2,M,F,22,21,1,1,12,L4,0,5,1
2,M,F,22,21,1,2,18,L3,1,7,1
2,M,F,22,21,1,3,17,L1,1,7,1
2,M,F,22,21,1,4,5,L1,1,4,0
2,M,F,22,21,1,5,14,L3,1,6,1
2,M,F,22,21,1,6,3,L2,0,3,0
2,M,F,22,21,1,7,4,L4,0,3,0
2,M,F,22,21,1,8,10,L3,1,5,1
2,M,F,22,21,1,9,16,L4,0,6,1
2,M,F,22,21,1,10,20,L4,0,7,1
2,M,F,22,21,1,11,19,L2,0,7,1
2,M,F,22,21,1,12,8,L4,0,4,0
2,M,F,22,21,1,13,13,L1,1,6,1
2,M,F,22,21,1,14,1,L1,1,3,0
2,M,F,22,21,1,15,7,L2,0,4,0
2,M,F,22,21,1,16,6,L3,1,4,1
2,M,F,22,21,1,17,11,L2,0,5,1
2,M,F,22,21,1,18,15,L2,0,6,1
2,M,F,22,21,1,19,9,L1,1,5,1
2,M,F,22,21,1,20,2,L3,1,3,0
2,M,F,22,21,2,1,13,L1,1,6,1
2,M,F,22,21,2,2,3,L2,0,3,0
2,M,F,22,21,2,3,12,L4,0,5,1
2,M,F,22,21,2,4,17,L1,1,7,1
2,M,F,22,21,2,5,9,L1,1,5,1
2,M,F,22,21,2,6,6,L3,1,4,1
2,M,F,22,21,2,7,16,L4,0,6,1
2,M,F,22,21,2,8,15,L2,0,6,1
2,M,F,22,21,2,9,14,L3,1,6,1
2,M,F,22,21,2,10,10,L3,1,5,1
2,M,F,22,21,2,11,2,L3,1,3,0
2,M,F,22,21,2,12,20,L4,0,7,1
2,M,F,22,21,2,13,8,L4,0,4,0
2,M,F,22,21,2,14,18,L3,1,7,1
2,M,F,22,21,2,15,5,L1,1,4,0
2,M,F,22,21,2,16,19,L2,0,7,1
2,M,F,22,21,2,17,11,L2,0,5,1
2,M,F,22,21,2,18,4,L4,0,3,0
2,M,F,22,21,2,19,7,L2,0,4,0
2,M,F,22,21,2,20,1,L1,1,3,0
3,M,M,38,28,1,1,15,L2,0,6,1
3,M,M,38,28,1,2,3,L2,0,3,0
3,M,M,38,28,1,3,17,L1,1,7,1
3,M,M,38,28,1,4,20,L4,0,7,1
3,M,M,38,28,1,5,12,L4,0,5,0
3,M,M,38,28,1,6,10,L3,1,5,1
3,M,M,38,28,1,7,8,L4,0,4,0
3,M,M,38,28,1,8,16,L4,0,6,1
3,M,M,38,28,1,9,5,L1,1,4,1
3,M,M,38,28,1,10,11,L2,0,5,1
3,M,M,38,28,1,11,4,L4,0,3,0
3,M,M,38,28,1,12,2,L3,1,3,0
3,M,M,38,28,1,13,9,L1,1,5,1
3,M,M,38,28,1,14,13,L1,1,6,1
3,M,M,38,28,1,15,7,L2,0,4,0
3,M,M,38,28,1,16,19,L2,0,7,1
3,M,M,38,28,1,17,18,L3,1,7,1
3,M,M,38,28,1,18,1,L1,1,3,0
3,M,M,38,28,1,19,6,L3,1,4,0
3,M,M,38,28,1,20,14,L3,1,6,1
3,M,M,38,28,2,1,2,L3,1,3,0
3,M,M,38,28,2,2,4,L4,0,3,0
3,M,M,38,28,2,3,15,L2,0,6,1
3,M,M,38,28,2,4,17,L1,1,7,1
3,M,M,38,28,2,5,8,L4,0,4,0
3,M,M,38,28,2,6,10,L3,1,5,1
3,M,M,38,28,2,7,12,L4,0,5,1
3,M,M,38,28,2,8,1,L1,1,3,0
3,M,M,38,28,2,9,9,L1,1,5,1
3,M,M,38,28,2,10,5,L1,1,4,1
3,M,M,38,28,2,11,16,L4,0,6,1
3,M,M,38,28,2,12,7,L2,0,4,1
3,M,M,38,28,2,13,6,L3,1,4,1
3,M,M,38,28,2,14,19,L2,0,7,1
3,M,M,38,28,2,15,14,L3,1,6,1
3,M,M,38,28,2,16,13,L1,1,6,1
3,M,M,38,28,2,17,20,L4,0,7,1
3,M,M,38,28,2,18,18,L3,1,7,1
3,M,M,38,28,2,19,11,L2,0,5,1
3,M,M,38,28,2,20,3,L2,0,3,0
4,M,F,22,25,1,1,11,L2,0,5,0
4,M,F,22,25,1,2,1,L1,1,3,1
4,M,F,22,25,1,3,9,L1,1,5,1
4,M,F,22,25,1,4,19,L2,0,7,0
4,M,F,22,25,1,5,13,L1,1,6,1
4,M,F,22,25,1,6,20,L4,0,7,0
4,M,F,22,25,1,7,14,L3,1,6,1
4,M,F,22,25,1,8,5,L1,1,4,1
4,M,F,22,25,1,9,10,L3,1,5,1
4,M,F,22,25,1,10,12,L4,0,5,0
4,M,F,22,25,1,11,15,L2,0,6,0
4,M,F,22,25,1,12,6,L3,1,4,1
4,M,F,22,25,1,13,4,L4,0,3,0
